abbv,term
a11y,accessibility
aaa,"authentication authorization, accounting"
aabb,axis aligned bounding box
aac,advanced audio coding
aal,atm adaptation layer
aalc,atm adaptation layer connection
aarp,appletalk address resolution protocol
abac,attribute-based access control
abcl,actor-based concurrent language
abi,application binary interface
abm,asynchronous balanced mode
abr,adaptive bitrate (streaming)
ac,alternating current
acd,automatic call distributor
ace,alternating conditional expectation  algorithm
acid,atomicity consistency isolation durability
ack,amsterdam compiler kit
acl,active current loop
acm,association for computing machinery
acme,automated classification of medical entities
acp,airline control program
acpi,advanced configuration and power interface
acr,attenuation to crosstalk ratio
ad,administrative domain
adc,apple display connector
adb,apple desktop bus
adccp,advanced data communications control procedures
ado,activex data objects
adsl,asymmetric digital subscriber line
adt,automatic drum transcription
ae,autoencoder
aes,advanced encryption standard
af,anisotropic filtering
afp,apple filing protocol
agi,artificial general intelligence
agp,accelerated graphics port
ah,active hub
ai,artificial intelligence
aix,advanced interactive executive
ajax,asynchronous javascript and xml
al,access list
alac,apple lossless audio codec
algol,algorithmic language
alsa,advanced linux sound architecture
alu,arithmetic and logical unit
am,amplitude modulation
amoled,active-matrix organic light-emitting diode
amd,advanced micro devices
amqp,advanced message queuing protocol
amr,audio modem riser
ansi,american national standards institute
ant,another neat tool
aoe,ata over ethernet
aop,aspect-oriented programming
aot,ahead-of-time
apci,application-layer protocol control information
api,application programming interface
apic,advanced programmable interrupt controller
apipa,automatic private ip addressing
apl,a programming language
apr,apache portable runtime
arc,advanced risc computing
arin,american registry for internet numbers
arm,advanced risc machines
aros,aros research operating system
arp,address resolution protocol
arpa,advanced research projects agency
arpanet,advanced research projects agency network
as,access server
ascii,american standard code for information interchange
authip,authenticated internet protocol
asg,abstract semantic graph
asic,application-specific integrated circuit
asimo,advanced step in innovative mobility
aslr,address space layout randomization
asm,algorithmic state machine
asmp,asymmetric multiprocessing
asn.1,abstract syntax notation 1
asp,application service provider
asr,asynchronous signal routine
ast,abstract syntax tree
at,active terminator
ata,advanced technology attachment
atag,authoring tool accessibility guidelines
atapi,advanced technology attachment packet interface
atm,asynchronous transfer mode
authn,authentication
authz,authorization
av,antivirus
avc,advanced video coding
avi,audio video interleaved
awk,aho weinberger kernighan
aws,amazon web services
awt,abstract window toolkit
b2b,business-to-business
b2c,business-to-consumer
b2e,business-to-employee
bal,basic assembly language
bam,block availability map
bash,bourne-again shell
basic,beginner's all-purpose symbolic instruction code
bbp,baseband processor
bbs,bulletin board system
bc,business continuity
bcc,blind carbon copy
bcd,boot configuration data
bcnf,boycecodd normal form
bcp,best current practice
be,backend
beep,blocks extensible exchange protocol
ber,bit error rate
bfd,binary file descriptor
bfs,breadth-first search
bft,byzantine fault tolerant
bgp,border gateway protocol
bi,business intelligence
bidi,bi-directional
bin,binary
binac,binary automatic computer
bind,berkeley internet name domain
bios,basic input output system
bjt,bipolar junction transistor
bit,binary digit
blob,binary large object
blog,web log
bmp,basic multilingual plane
bnc,baby neill constant
boinc,berkeley open infrastructure for network computing
bom,byte order mark
bootp,bootstrap protocol
